feature,importance,feature_clean
cat__Bad past experience_Strongly agree,0.0006707824097120545,Bad past experience_Strongly agree
cat__Perference(P2)_Ice cream / Cool drinks,0.0006703812755806384,Perference(P2)_Ice cream / Cool drinks
cat__Occupation_Self Employeed,0.0005613879441910334,Occupation_Self Employeed
cat__High Quality of package_Moderately Important,0.0005461183964599823,High Quality of package_Moderately Important
cat__Educational Qualifications_School,0.0005316041616396561,Educational Qualifications_School
cat__High Quality of package_Slightly Important,0.000500607800157199,High Quality of package_Slightly Important
cat__Less Delivery time_Slightly Important,0.00045983285385913257,Less Delivery time_Slightly Important
cat__Order placed by mistake_Strongly agree,0.0004227444088624768,Order placed by mistake_Strongly agree
cat__Influence of time_No,0.00031578076248109594,Influence of time_No
cat__Less Delivery time_Moderately Important,0.0002822463125478584,Less Delivery time_Moderately Important
cat__Ease and convenient_Neutral,0.0002627699474706491,Ease and convenient_Neutral
cat__Long delivery time_Neutral,0.00025347763152499874,Long delivery time_Neutral
cat__Order Time_Weekdays (Mon-Fri),0.00024644794225313815,Order Time_Weekdays (Mon-Fri)
cat__Self Cooking_Strongly agree,0.0001864012515044129,Self Cooking_Strongly agree
cat__Freshness_Moderately Important,0.0001743362229367906,Freshness_Moderately Important
cat__Delivery person ability_Neutral,0.00016616294328939774,Delivery person ability_Neutral
cat__Missing item_Strongly agree,0.00014359693122581094,Missing item_Strongly agree
cat__Good Taste_Moderately Important,5.2609386364579514e-05,Good Taste_Moderately Important
cat__Residence in busy location_Strongly Agree,4.457927605854833e-05,Residence in busy location_Strongly Agree
cat__Influence of time_Maybe,6.553831761263123e-19,Influence of time_Maybe
cat__Medium (P1)_Direct call,0.0,Medium (P1)_Direct call
cat__Medium (P1)_Web browser,0.0,Medium (P1)_Web browser
cat__Late Delivery_Strongly agree,0.0,Late Delivery_Strongly agree
cat__Health Concern_Strongly disagree,0.0,Health Concern_Strongly disagree
cat__Self Cooking_Strongly disagree,0.0,Self Cooking_Strongly disagree
cat__Perference(P1)_Bakery items (snacks),0.0,Perference(P1)_Bakery items (snacks)
cat__Perference(P2)_Bakery items (snacks),0.0,Perference(P2)_Bakery items (snacks)
cat__Perference(P1)_Sweets,0.0,Perference(P1)_Sweets
cat__Time saving_Strongly disagree,0.0,Time saving_Strongly disagree
cat__Ease and convenient_Strongly disagree,0.0,Ease and convenient_Strongly disagree
cat__Monthly Income_Below Rs.10000,0.0,Monthly Income_Below Rs.10000
cat__Educational Qualifications_Uneducated,0.0,Educational Qualifications_Uneducated
cat__Marital Status_Prefer not to say,0.0,Marital Status_Prefer not to say
cat__Occupation_House wife,0.0,Occupation_House wife
cat__Poor Hygiene_Strongly disagree,0.0,Poor Hygiene_Strongly disagree
cat__Delay of delivery person picking up food_Strongly disagree,0.0,Delay of delivery person picking up food_Strongly disagree
cat__Long delivery time_Strongly disagree,0.0,Long delivery time_Strongly disagree
cat__Delay of delivery person getting assigned_Strongly disagree,0.0,Delay of delivery person getting assigned_Strongly disagree
cat__Maximum wait time_More than 60 minutes,0.0,Maximum wait time_More than 60 minutes
cat__Delivery person ability_Strongly disagree,0.0,Delivery person ability_Strongly disagree
cat__Less Delivery time_Unimportant,0.0,Less Delivery time_Unimportant
cat__Low quantity low time_Strongly Agree,0.0,Low quantity low time_Strongly Agree
cat__Google Maps Accuracy_Strongly disagree,0.0,Google Maps Accuracy_Strongly disagree
cat__Residence in busy location_Strongly disagree,0.0,Residence in busy location_Strongly disagree
cat__Good Road Condition_Strongly disagree,0.0,Good Road Condition_Strongly disagree
cat__Number of calls_Unimportant,0.0,Number of calls_Unimportant
cat__Freshness_Unimportant,0.0,Freshness_Unimportant
cat__Politeness_Unimportant,0.0,Politeness_Unimportant
cat__High Quality of package_Unimportant,0.0,High Quality of package_Unimportant
cat__Temperature_Slightly Important,0.0,Temperature_Slightly Important
cat__Temperature_Unimportant,0.0,Temperature_Unimportant
cat__Good Taste_Unimportant,0.0,Good Taste_Unimportant
cat__Good Taste_Slightly Important,0.0,Good Taste_Slightly Important
cat__Good Quantity_Unimportant,0.0,Good Quantity_Unimportant
